Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Years,Item_Outlet_Sales
16.35,Non-Edible,0.034742632,Household,127.402,Small,Tier 2,Supermarket Type1,11,759.012
19.0,Non-Edible,0.026986367,Household,127.1336,Small,Tier 1,Supermarket Type1,16,2812.3392
15.3,Regular,0.084937098,Canned,214.0218,Small,Tier 2,Supermarket Type1,11,1068.609
20.7,Low Fat,0.048718334,Fruits and Vegetables,38.7506,High,Tier 3,Supermarket Type1,26,227.7036
17.75,Non-Edible,0.111301625,Others,107.5912,Small,Tier 1,Supermarket Type1,16,1528.6768
8.895,Low Fat,0.126287542,Hard Drinks,235.5616,Small,Tier 3,Grocery Store,15,468.7232
9.895,Regular,0.048738014,Frozen Foods,262.1278,Medium,Tier 1,Supermarket Type1,14,3904.917
13.0,Non-Edible,0.03525175,Household,48.0034,Medium,Tier 3,Supermarket Type2,4,923.4646
9.5,Low Fat,0.074648119,Snack Foods,253.3724,Medium,Tier 3,Supermarket Type2,4,755.0172
12.15,Regular,0.042277867,Canned,126.5046,High,Tier 3,Supermarket Type1,26,373.5138
15.5,Regular,0.101335811,Fruits and Vegetables,196.5768,Small,Tier 2,Supermarket Type1,6,3350.3056
11.6,Regular,0.077321087,Frozen Foods,169.3106,Small,Tier 2,Supermarket Type1,11,2224.4378
16.5,Regular,0.079837509,Fruits and Vegetables,102.1332,Medium,Tier 1,Supermarket Type1,14,1743.0644
17.75,Non-Edible,0.03050705,Others,180.366,Small,Tier 1,Supermarket Type1,16,2336.958
18.25,Low Fat,0.079342006,Frozen Foods,226.0062,Medium,Tier 1,Supermarket Type1,14,1805.6496
8.68,Low Fat,0.008835694,Frozen Foods,96.5384,Small,Tier 1,Supermarket Type1,16,1182.4608
6.78,Regular,0.1405594475,Baking Goods,95.012,Medium,Tier 1,Supermarket Type1,14,2050.664
17.2,Regular,0.012002075,Canned,165.3184,High,Tier 3,Supermarket Type1,26,990.7104
11.8,Regular,0.094185483,Snack Foods,126.2704,Small,Tier 2,Supermarket Type1,6,2002.7264
14.15,Regular,0.024286378,Fruits and Vegetables,194.711,Medium,Tier 3,Supermarket Type3,28,5892.33
9.6,Low Fat,0.035579135,Snack Foods,244.417,Small,Tier 1,Supermarket Type1,16,1944.136
15.5,Regular,0.15028599,Frozen Foods,51.0692,Small,Tier 1,Grocery Store,28,147.8076
10.1,Low Fat,0.046545786,Hard Drinks,59.9878,High,Tier 3,Supermarket Type1,26,484.7024
20.2,Regular,0.117599259,Baking Goods,195.311,Small,Tier 2,Supermarket Type1,11,3338.987
14.5,Regular,0.102999154,Fruits and Vegetables,169.9448,Small,Tier 1,Grocery Store,28,170.4448
8.93,Low Fat,0.049754975,Dairy,152.134,Small,Tier 1,Grocery Store,28,153.134
6.655,Low Fat,0.016876708,Fruits and Vegetables,210.0586,Medium,Tier 3,Supermarket Type3,28,6964.9338
14.65,Non-Edible,0.120624771,Household,261.7594,Small,Tier 3,Grocery Store,15,523.3188
19.7,Regular,0.08096537100000001,Baking Goods,197.911,Small,Tier 2,Supermarket Type1,11,1767.699
14.6,Low Fat,0.150872868,Soft Drinks,47.5692,Small,Tier 2,Supermarket Type1,11,1379.5376
6.405,Low Fat,0.136275173,Snack Foods,128.1678,Small,Tier 2,Supermarket Type1,9,1017.3424
8.985,Low Fat,0.32111501,Fruits and Vegetables,100.77,Small,Tier 1,Grocery Store,28,199.74
14.1,Low Fat,0.126292985,Fruits and Vegetables,88.6198,Medium,Tier 3,Supermarket Type2,4,1133.8574
13.85,Low Fat,0.030920531,Soft Drinks,141.0154,Medium,Tier 3,Supermarket Type2,4,1701.7848
7.97,Low Fat,0.021601188,Seafood,109.4596,Medium,Tier 3,Supermarket Type3,28,1833.6132
9.5,Regular,0.035350045,Fruits and Vegetables,169.7448,Small,Tier 2,Supermarket Type1,6,3579.3408
15.85,Low Fat,0.078174543,Canned,39.9506,Medium,Tier 3,Supermarket Type3,28,721.0614
14.35,Low Fat,0.080922439,Baking Goods,80.096,Medium,Tier 3,Supermarket Type2,4,1278.336
19.85,Regular,0.034942397,Snack Foods,61.9194,Small,Tier 3,Grocery Store,15,123.8388
15.0,Regular,0.054599767,Canned,59.4904,Medium,Tier 3,Supermarket Type2,4,644.4944
17.25,Low Fat,0.107021498,Frozen Foods,40.5822,Small,Tier 2,Supermarket Type1,9,785.644
19.5,Regular,0.027214272,Canned,159.692,Medium,Tier 3,Supermarket Type3,28,3515.424
8.895,Low Fat,0.07204818,Breakfast,177.937,Medium,Tier 3,Supermarket Type3,28,6881.043
7.035,Low Fat,0.021849398,Frozen Foods,262.091,Small,Tier 1,Supermarket Type1,16,4207.856
7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,Medium,Tier 1,Supermarket Type1,14,759.012
17.6,Regular,0.047330801,Snack Foods,120.8782,Medium,Tier 1,Supermarket Type1,14,2621.9204
7.02,Low Fat,0.080771137,Fruits and Vegetables,146.4734,Medium,Tier 3,Supermarket Type3,28,4157.2552
15.6,Low Fat,0.044122209,Snack Foods,173.8054,Small,Tier 1,Grocery Store,28,175.1054
10.0,Low Fat,0.025702129,Canned,262.6226,Medium,Tier 3,Supermarket Type3,28,7136.7102
7.905,Low Fat,0.06406438,Hard Drinks,229.2694,Small,Tier 1,Supermarket Type1,16,1826.9552
20.7,Low Fat,0.043011277,Dairy,177.2028,Medium,Tier 3,Supermarket Type2,4,3364.9532
19.1,Low Fat,0.096929994,Fruits and Vegetables,233.8958,Small,Tier 2,Supermarket Type1,11,2103.2622
18.35,Regular,0.094218363,Fruits and Vegetables,83.9882,High,Tier 3,Supermarket Type1,26,1202.4348
12.15,Low Fat,0.018321361,Frozen Foods,255.3698,Medium,Tier 3,Supermarket Type3,28,4819.7262
16.5,Regular,0.133424184,Fruits and Vegetables,102.2332,Small,Tier 3,Grocery Store,15,102.5332
10.195,Regular,0.012458143,Meat,196.311,Small,Tier 1,Supermarket Type1,16,589.233
11.0,Regular,0.087421738,Frozen Foods,154.463,Medium,Tier 3,Supermarket Type3,28,2972.797
8.1,Low Fat,0.128011859,Fruits and Vegetables,210.9902,Small,Tier 2,Supermarket Type1,9,6371.706
17.6,Non-Edible,0.015687045,Household,182.6976,Small,Tier 1,Supermarket Type1,16,3440.8544
11.15,Regular,0.105471384,Baking Goods,105.8648,Medium,Tier 1,Supermarket Type1,14,1973.4312
6.65,Low Fat,0.08816538,Fruits and Vegetables,126.8678,Small,Tier 2,Supermarket Type1,6,1780.3492
7.64,Regular,0.070704474,Snack Foods,93.412,Small,Tier 1,Supermarket Type1,16,1491.392
8.39,Regular,0.024205661,Frozen Foods,114.0176,Small,Tier 1,Supermarket Type1,16,2290.352
8.02,Low Fat,0.186528819,Snack Foods,151.9998,Small,Tier 3,Grocery Store,15,307.5996
16.1,Regular,0.04807227,Frozen Foods,126.5362,Small,Tier 2,Supermarket Type1,6,1761.7068
11.8,Regular,0.014166739,Frozen Foods,178.2344,Small,Tier 2,Supermarket Type1,6,2854.9504
5.765,Low Fat,0.143592939,Baking Goods,37.3164,Small,Tier 1,Grocery Store,28,38.6164
17.2,Low Fat,0.156298858,Meat,162.1578,Small,Tier 1,Supermarket Type1,16,1283.6624
9.1,Regular,0.136695145,Breads,173.4054,Small,Tier 3,Grocery Store,15,875.527
8.21,Low Fat,0.018847114,Hard Drinks,148.0392,Small,Tier 1,Grocery Store,28,447.4176
6.135,Low Fat,0.079094835,Soft Drinks,114.386,Medium,Tier 1,Supermarket Type1,14,1018.674
7.825,Regular,0.150015234,Frozen Foods,157.5288,Small,Tier 1,Supermarket Type1,16,942.7728
15.7,Low Fat,0.073816097,Baking Goods,253.4724,Small,Tier 2,Supermarket Type1,11,2013.3792
17.7,Regular,0.226122963,Starchy Foods,185.7924,Small,Tier 3,Grocery Store,15,370.1848
10.895,Non-Edible,0.021037197,Health and Hygiene,255.9672,Medium,Tier 3,Supermarket Type2,4,4857.6768
19.5,Regular,0.030688557,Canned,85.754,Small,Tier 2,Supermarket Type1,9,2163.85
15.5,Regular,0.025409912,Baking Goods,83.2934,Medium,Tier 1,Supermarket Type1,14,1883.5482
17.25,Non-Edible,0.113748685,Household,251.3724,Small,Tier 2,Supermarket Type1,11,6795.1548
6.669999999999999,Regular,0.122830885,Snack Foods,86.9514,Medium,Tier 3,Supermarket Type3,28,3364.9532
7.3,Low Fat,0.086266286,Frozen Foods,147.2076,Medium,Tier 1,Supermarket Type1,14,1921.4988
19.35,Regular,0.065507999,Meat,168.9816,Small,Tier 2,Supermarket Type1,9,2852.2872
7.39,Non-Edible,0.093307713,Household,250.9066,Small,Tier 2,Supermarket Type1,6,1506.0396
10.3,Regular,0.024776026,Baking Goods,172.3422,Medium,Tier 3,Supermarket Type3,28,7759.899
14.0,Regular,0.031444357,Canned,53.764,Small,Tier 2,Supermarket Type1,6,798.96
17.75,Low Fat,0.014609738,Fruits and Vegetables,160.4262,Small,Tier 2,Supermarket Type1,11,3182.524
20.75,Low Fat,0.024032484,Fruits and Vegetables,124.973,Medium,Tier 3,Supermarket Type3,28,2463.46
12.15,Non-Edible,0.006754117,Others,122.173,High,Tier 3,Supermarket Type1,26,2586.633
12.35,Low Fat,0.026735372,Canned,57.4246,Small,Tier 2,Supermarket Type1,11,810.9444
8.3,Regular,0.038367194,Dairy,87.1198,Medium,Tier 3,Supermarket Type2,4,959.4178
16.7,Regular,0.061122656,Baking Goods,100.0384,Medium,Tier 3,Supermarket Type2,4,2463.46
8.775,Low Fat,0.109911272,Dairy,41.9428,Small,Tier 1,Supermarket Type1,16,1537.998
7.55,Regular,0.030918873,Fruits and Vegetables,123.9072,High,Tier 3,Supermarket Type1,26,1102.5648
13.1,Regular,0.098938169,Frozen Foods,195.7768,Medium,Tier 1,Supermarket Type1,14,4138.6128
10.195,Low Fat,0.112681821,Hard Drinks,113.986,Medium,Tier 3,Supermarket Type2,4,452.744
18.85,Non-Edible,0.016104504,Health and Hygiene,130.2626,Small,Tier 2,Supermarket Type1,9,2360.9268
10.895,Regular,0.009613854,Dairy,122.973,High,Tier 3,Supermarket Type1,26,1231.73
9.5,Low Fat,0.085223447,Hard Drinks,190.9872,Small,Tier 2,Supermarket Type1,11,3025.3952
9.8,Low Fat,0.047178116,Baking Goods,99.4016,Small,Tier 2,Supermarket Type1,9,2428.8384
10.8,Non-Edible,0.042102658,Health and Hygiene,189.7214,Small,Tier 2,Supermarket Type1,6,1695.7926
9.1,Regular,0.008027701,Frozen Foods,81.1618,High,Tier 3,Supermarket Type1,26,2255.7304
7.21,Regular,0.144924795,Snack Foods,100.8332,Small,Tier 2,Supermarket Type1,11,1537.998
6.215,Low Fat,0.012198395,Fruits and Vegetables,37.4848,Medium,Tier 3,Supermarket Type2,4,186.424
20.75,Low Fat,0.007551665,Snack Foods,107.1622,Small,Tier 2,Supermarket Type1,9,1693.7952
19.1,Regular,0.025872153,Fruits and Vegetables,145.7418,Small,Tier 1,Supermarket Type1,16,882.8508
19.6,Non-Edible,0.023951149,Household,105.6964,Small,Tier 1,Supermarket Type1,16,1577.946
8.63,Regular,0.028320655,Canned,172.5422,Medium,Tier 1,Supermarket Type1,14,2241.7486
14.8,Non-Edible,0.032606181,Health and Hygiene,193.5794,Small,Tier 3,Grocery Store,15,390.1588
12.85,Low Fat,0.030635040000000002,Starchy Foods,253.004,Medium,Tier 3,Supermarket Type2,4,3795.06
14.0,Low Fat,0.041283361,Starchy Foods,182.4634,Small,Tier 2,Supermarket Type1,9,5452.902
11.5,Low Fat,0.046217345,Snack Foods,120.3124,Small,Tier 2,Supermarket Type1,11,474.0496
6.71,Regular,0.029727657,Baking Goods,66.6142,Small,Tier 2,Supermarket Type1,6,1120.5414
14.5,Regular,0.072221801,Canned,43.6454,Small,Tier 1,Grocery Store,28,125.8362
14.5,Regular,0.214681063,Baking Goods,102.7332,Small,Tier 3,Grocery Store,15,205.0664
5.98,Low Fat,0.075675438,Hard Drinks,53.3614,Medium,Tier 1,Supermarket Type1,14,331.5684
20.2,Non-Edible,0.099428487,Household,187.8898,Medium,Tier 3,Supermarket Type3,28,7296.5022
12.6,Low Fat,0.049058014,Breads,62.7194,Small,Tier 2,Supermarket Type1,6,866.8716
9.195,Regular,0.064143995,Frozen Foods,85.9566,Small,Tier 2,Supermarket Type1,11,1691.132
12.8,Low Fat,0.076369874,Fruits and Vegetables,97.241,Medium,Tier 3,Supermarket Type2,4,1448.115
20.5,Non-Edible,0.040520754,Others,153.934,Small,Tier 1,Grocery Store,28,153.134
20.2,Regular,0.121254236,Snack Foods,94.5752,Small,Tier 1,Supermarket Type1,16,1821.6288
8.895,Low Fat,0.105323859,Dairy,39.1138,Small,Tier 2,Supermarket Type1,11,609.207
11.65,Regular,0.059063036,Baking Goods,172.0422,Small,Tier 2,Supermarket Type1,6,1379.5376
15.6,Low Fat,0.078764059,Dairy,241.3854,Small,Tier 1,Grocery Store,28,483.3708
7.935,Low Fat,0.017253305,Dairy,51.435,Small,Tier 2,Supermarket Type1,6,499.35
20.35,Low Fat,0.053795154,Snack Foods,117.7466,Medium,Tier 3,Supermarket Type3,28,1414.1592
8.06,Low Fat,0.035780177,Breakfast,230.2326,Small,Tier 3,Grocery Store,15,693.0978
9.035,Regular,0.172629683,Meat,148.4708,Medium,Tier 3,Supermarket Type3,28,3761.77
16.6,Non-Edible,0.046161923,Household,176.6344,Small,Tier 3,Grocery Store,15,356.8688
16.25,Low Fat,0.152632413,Dairy,98.441,Small,Tier 1,Grocery Store,28,96.541
12.35,Low Fat,0.026722744,Canned,59.2246,Medium,Tier 1,Supermarket Type1,14,984.7182
14.5,Non-Edible,0.019459164,Others,161.621,High,Tier 3,Supermarket Type1,26,2120.573
13.1,Low Fat,0.075731322,Dairy,167.5158,Small,Tier 2,Supermarket Type1,11,1504.0422
7.05,Low Fat,0.085138334,Snack Foods,108.6912,Small,Tier 2,Supermarket Type1,11,1310.2944
14.8,Regular,0.076851759,Breads,111.857,Small,Tier 1,Grocery Store,28,109.857
8.1,Regular,0.133673087,Canned,41.548,Medium,Tier 3,Supermarket Type3,28,918.804
6.15,Low Fat,0.046459438,Baking Goods,100.5384,Medium,Tier 3,Supermarket Type2,4,1675.1528
13.65,Regular,0.080573371,Frozen Foods,260.1936,High,Tier 3,Supermarket Type1,26,3914.904
13.35,Regular,0.149669322,Snack Foods,180.266,Small,Tier 2,Supermarket Type1,11,898.83
10.5,Regular,0.025041738,Fruits and Vegetables,218.7508,Small,Tier 2,Supermarket Type1,11,3255.762
7.865,Low Fat,0.061405051,Breakfast,166.3526,Small,Tier 2,Supermarket Type1,6,1973.4312
12.85,Low Fat,0.169139066,Frozen Foods,46.406,Medium,Tier 3,Supermarket Type2,4,186.424
20.25,Regular,0.014823358,Dairy,190.7162,Small,Tier 2,Supermarket Type1,11,1154.4972
5.15,Regular,0.061165512,Meat,125.6388,Small,Tier 2,Supermarket Type1,9,2848.2924
13.6,Low Fat,0.117537563,Snack Foods,195.4136,High,Tier 3,Supermarket Type1,26,5443.5808
9.0,Low Fat,0.086088353,Snack Foods,168.7816,Medium,Tier 1,Supermarket Type1,14,3355.632
6.365,Low Fat,0.007363189,Frozen Foods,63.2536,Small,Tier 2,Supermarket Type1,11,1225.072
13.5,Low Fat,0.0810270905,Baking Goods,84.654,Medium,Tier 1,Supermarket Type1,14,1211.756
19.1,Low Fat,0.097127867,Fruits and Vegetables,234.4958,Medium,Tier 3,Supermarket Type2,4,1635.8706
18.25,Low Fat,0.012272797,Fruits and Vegetables,160.2894,Small,Tier 2,Supermarket Type1,9,3235.788
9.195,Regular,0.214139786,Fruits and Vegetables,102.4016,Small,Tier 1,Grocery Store,28,202.4032
9.895,Regular,0.048860587,Frozen Foods,260.2278,Medium,Tier 3,Supermarket Type2,4,4165.2448
10.1,Low Fat,0.279783532,Soft Drinks,241.8512,Small,Tier 3,Grocery Store,15,484.7024
14.5,Regular,0.058946687,Fruits and Vegetables,168.6448,Small,Tier 2,Supermarket Type1,11,2897.5616
12.65,Low Fat,0.063146492,Soft Drinks,159.6578,Medium,Tier 3,Supermarket Type2,4,962.7468
15.7,Regular,0.027729547,Canned,169.379,Medium,Tier 3,Supermarket Type2,4,1528.011
15.1,Regular,0.164391573,Fruits and Vegetables,62.8194,Small,Tier 1,Grocery Store,28,61.9194
5.75,Regular,0.075322658,Dairy,116.3176,Small,Tier 2,Supermarket Type1,11,2519.3872
12.65,Non-Edible,0.047197936,Others,114.1202,High,Tier 3,Supermarket Type1,26,3488.1262
11.5,Regular,0.020611526,Dairy,84.954,Small,Tier 2,Supermarket Type1,11,865.54
10.6,Low Fat,0.011106465,Breads,42.7454,Medium,Tier 1,Supermarket Type1,14,419.454
6.635,Regular,0.046277956,Frozen Foods,36.7506,Medium,Tier 3,Supermarket Type2,4,75.9012
15.35,Low Fat,0.074601506,Snack Foods,88.283,Small,Tier 1,Supermarket Type1,16,1797.66
9.8,Regular,0.045522854,Baking Goods,35.0874,Small,Tier 2,Supermarket Type1,6,352.874
7.84,Regular,0.154120252,Canned,51.935,Medium,Tier 3,Supermarket Type2,4,199.74
16.0,Low Fat,0.077290355,Fruits and Vegetables,44.5086,Small,Tier 2,Supermarket Type1,6,713.7376
17.85,Low Fat,0.087963415,Breads,193.3794,Small,Tier 2,Supermarket Type1,6,4291.7468
12.65,Low Fat,0.035410748,Baking Goods,231.401,Small,Tier 1,Supermarket Type1,16,2067.309
9.6,Non-Edible,0.006708517,Household,164.6184,Medium,Tier 1,Supermarket Type1,14,2972.1312
20.1,Regular,0.022460102,Fruits and Vegetables,226.8036,Medium,Tier 1,Supermarket Type1,14,3415.554
13.35,Low Fat,0.038519399,Snack Foods,238.7564,Medium,Tier 3,Supermarket Type2,4,1906.8512
10.8,Low Fat,0.061446997,Soft Drinks,150.4024,Small,Tier 2,Supermarket Type1,6,2884.2456
15.199999999999998,Low Fat,0.112349962,Soft Drinks,39.1848,Medium,Tier 3,Supermarket Type3,28,559.272
6.75,Regular,0.10821852,Dairy,96.3752,Small,Tier 2,Supermarket Type1,9,1342.2528
16.25,Regular,0.049074897,Fruits and Vegetables,154.2682,Small,Tier 2,Supermarket Type1,11,3354.3004
17.6,Low Fat,0.105042025,Snack Foods,163.8868,Medium,Tier 1,Supermarket Type1,14,3111.9492
8.31,Regular,0.115857223,Snack Foods,179.1028,Medium,Tier 1,Supermarket Type1,14,3896.2616
13.3,Regular,0.0713931,Fruits and Vegetables,61.0536,High,Tier 3,Supermarket Type1,26,1592.5936
19.35,Low Fat,0.026329989,Fruits and Vegetables,169.2474,Small,Tier 2,Supermarket Type1,6,3705.8428
5.785,Regular,0.040587146,Snack Foods,180.366,Small,Tier 2,Supermarket Type1,6,1258.362
4.92,Low Fat,0.045955031,Baking Goods,199.1084,Small,Tier 1,Supermarket Type1,16,2182.4924
14.0,Regular,0.136328794,Frozen Foods,54.864,Medium,Tier 3,Supermarket Type2,4,319.584
13.85,Non-Edible,0.0311868,Others,39.548,Medium,Tier 3,Supermarket Type3,28,759.012
12.65,Regular,0.076198809,Frozen Foods,191.3846,Small,Tier 2,Supermarket Type1,11,2675.1844
14.5,Non-Edible,0.019471688,Others,164.821,Small,Tier 2,Supermarket Type1,9,2120.573
19.35,Regular,0.057762301,Fruits and Vegetables,237.3564,Medium,Tier 3,Supermarket Type3,28,2145.2076
7.235,Non-Edible,0.076855628,Household,116.0492,Small,Tier 1,Supermarket Type1,16,1969.4364
8.51,Regular,0.07802465,Snack Foods,171.4422,Medium,Tier 3,Supermarket Type3,28,3448.844
12.6,Regular,0.062827447,Frozen Foods,105.099,Small,Tier 2,Supermarket Type1,11,1444.786
7.21,Regular,0.144856342,Snack Foods,100.5332,Medium,Tier 1,Supermarket Type1,14,1127.8652
16.25,Low Fat,0.04506213,Fruits and Vegetables,167.5474,Small,Tier 1,Grocery Store,28,1010.6844
7.72,Low Fat,0.05193741,Fruits and Vegetables,77.9986,High,Tier 3,Supermarket Type1,26,934.7832
13.1,Low Fat,0.07494003,Dairy,75.0354,Small,Tier 1,Supermarket Type1,16,902.8248
8.71,Regular,0.071806046,Canned,186.5924,Medium,Tier 3,Supermarket Type3,28,5182.5872
19.1,Low Fat,0.045492697,Dairy,40.3138,Medium,Tier 3,Supermarket Type2,4,527.9794
12.5,Regular,0.062343432,Baking Goods,199.7426,Small,Tier 1,Supermarket Type1,16,593.2278
7.63,Low Fat,0.061409711,Soft Drinks,94.6436,Small,Tier 2,Supermarket Type1,6,1607.2412
11.85,Regular,0.049842613,Fruits and Vegetables,164.2526,Medium,Tier 3,Supermarket Type3,28,3946.8624
13.3,Low Fat,0.080257683,Dairy,232.63,Small,Tier 2,Supermarket Type1,6,1864.24
16.7,Regular,0.042610897,Dairy,117.2782,Small,Tier 2,Supermarket Type1,9,715.0692
16.25,Low Fat,0.057485328,Fruits and Vegetables,126.2046,Medium,Tier 1,Supermarket Type1,14,1867.569
5.26,Regular,0.042008667,Baking Goods,162.6868,Small,Tier 2,Supermarket Type1,6,3767.0964
5.635,Low Fat,0.103693024,Baking Goods,149.905,Medium,Tier 3,Supermarket Type2,4,2546.685
13.1,Low Fat,0.020870744,Dairy,117.3782,Small,Tier 1,Supermarket Type1,16,1787.673
13.85,Low Fat,0.034624104,Hard Drinks,115.0492,Medium,Tier 1,Supermarket Type1,14,4054.722
11.85,Low Fat,0.222063351,Dairy,99.6726,Small,Tier 3,Grocery Store,15,195.7452
19.7,Regular,0.018024769,Meat,104.499,Small,Tier 1,Supermarket Type1,16,1031.99
16.5,Regular,0.160624116,Snack Foods,143.8128,Small,Tier 2,Supermarket Type1,6,2588.6304
14.0,Regular,0.029578726,Dairy,143.5786,Medium,Tier 3,Supermarket Type3,28,3756.4436
19.85,Low Fat,0.008762556,Dairy,266.6884,Small,Tier 3,Grocery Store,15,264.9884
20.0,Non-Edible,0.081492092,Others,35.519,Small,Tier 2,Supermarket Type1,11,1025.332
6.03,Low Fat,0.0226994,Dairy,176.4028,Small,Tier 2,Supermarket Type1,9,4250.4672
14.0,Regular,0.135775701,Frozen Foods,53.064,Small,Tier 2,Supermarket Type1,9,905.488
11.1,Non-Edible,0.033131548999999996,Household,119.1124,Small,Tier 1,Supermarket Type1,16,1303.6364
11.8,Low Fat,0.113559058,Soft Drinks,184.2924,Small,Tier 2,Supermarket Type1,11,1850.924
9.695,Regular,0.128176489,Baking Goods,224.8404,High,Tier 3,Supermarket Type1,26,3600.6464
11.6,Non-Edible,0.037793818,Health and Hygiene,99.3042,Small,Tier 2,Supermarket Type1,6,2281.6966
7.42,Low Fat,0.020374875,Snack Foods,248.0092,High,Tier 3,Supermarket Type1,26,1245.046
10.3,Non-Edible,0.117593973,Health and Hygiene,154.663,High,Tier 3,Supermarket Type1,26,2816.334
19.5,Low Fat,0.128181759,Breads,156.1314,Small,Tier 2,Supermarket Type1,9,2792.3652
17.1,Regular,0.046903482,Canned,142.0838,Small,Tier 2,Supermarket Type1,11,2528.7084
13.35,Low Fat,0.032024659,Meat,62.7194,Medium,Tier 3,Supermarket Type3,28,1857.582
15.85,Regular,0.110010191,Frozen Foods,38.8506,Small,Tier 2,Supermarket Type1,9,341.5554
5.4,Non-Edible,0.084245356,Health and Hygiene,164.6526,Small,Tier 1,Grocery Store,28,657.8104
13.35,Low Fat,0.038519399,Snack Foods,236.8564,Small,Tier 2,Supermarket Type1,9,5005.4844
13.3,Low Fat,0.079739853,Dairy,233.03,High,Tier 3,Supermarket Type1,26,5359.69
19.25,Non-Edible,0.108010006,Household,33.3558,Small,Tier 2,Supermarket Type1,9,713.0718
18.85,Regular,0.138585859,Snack Foods,252.4724,Small,Tier 2,Supermarket Type1,11,3271.7412
18.6,Low Fat,0.076841095,Snack Foods,162.2236,Small,Tier 2,Supermarket Type1,9,2900.2248
13.65,Low Fat,0.015976249,Breads,230.2668,Medium,Tier 3,Supermarket Type2,4,2994.7684
10.3,Regular,0.050353695,Canned,78.696,Small,Tier 2,Supermarket Type1,6,1757.712
13.35,Low Fat,0.017821466,Dairy,75.1012,Small,Tier 2,Supermarket Type1,11,1366.2216
7.935,Non-Edible,0.031730739,Household,261.091,Small,Tier 2,Supermarket Type1,9,2366.919
10.8,Low Fat,0.097937252,Meat,98.9042,Medium,Tier 3,Supermarket Type3,28,4960.21
13.15,Non-Edible,0.092854963,Household,158.7604,Small,Tier 2,Supermarket Type1,11,3010.7476
16.6,Low Fat,0.227189581,Hard Drinks,173.9422,Small,Tier 3,Grocery Store,15,172.4422
19.2,Non-Edible,0.041227831,Household,129.831,Small,Tier 1,Supermarket Type1,16,1947.465
19.85,Regular,0.020858779,Snack Foods,62.8194,High,Tier 3,Supermarket Type1,26,928.791
5.63,Regular,0.024520854,Meat,102.8306,High,Tier 3,Supermarket Type1,26,1986.0814
10.3,Regular,0.030693756,Fruits and Vegetables,114.2176,Medium,Tier 3,Supermarket Type2,4,2175.8344
13.85,Low Fat,0.034640466,Hard Drinks,116.1492,Small,Tier 2,Supermarket Type1,11,1274.3412
13.8,Regular,0.0642571895,Fruits and Vegetables,74.3012,Small,Tier 2,Supermarket Type1,11,1669.8264
9.6,Low Fat,0.036341539,Fruits and Vegetables,142.9154,Medium,Tier 1,Supermarket Type1,14,3261.7542
11.5,Regular,0.0204702,Dairy,88.254,Medium,Tier 3,Supermarket Type3,28,2510.066
9.195,Regular,0.051366901,Baking Goods,77.0644,Medium,Tier 3,Supermarket Type3,28,3221.1404
16.2,Regular,0.128315409,Frozen Foods,178.137,High,Tier 3,Supermarket Type1,26,3881.614
11.15,Regular,0.014497036,Dairy,150.8708,Small,Tier 1,Grocery Store,28,150.4708
17.1,Non-Edible,0.066828857,Household,114.186,Medium,Tier 3,Supermarket Type3,28,1924.162
6.965,Non-Edible,0.047784475,Household,158.8604,Small,Tier 3,Grocery Store,15,316.9208
7.52,Regular,0.043810028,Baking Goods,181.395,Medium,Tier 3,Supermarket Type3,28,6042.135
20.7,Regular,0.047491371,Dairy,213.9876,Small,Tier 1,Supermarket Type1,16,2143.876
12.15,Low Fat,0.026010729,Starchy Foods,119.144,Small,Tier 2,Supermarket Type1,6,2157.192
20.2,Regular,0.121500143,Snack Foods,95.0752,Small,Tier 2,Supermarket Type1,11,2588.6304
18.5,Regular,0.045534457,Dairy,146.3102,Medium,Tier 1,Supermarket Type1,14,3645.255
10.195,Low Fat,0.188038372,Snack Foods,146.4076,Small,Tier 1,Grocery Store,28,147.8076
20.85,Regular,0.062224479,Baking Goods,88.1514,Small,Tier 1,Supermarket Type1,16,1682.4766
12.65,Low Fat,0.069532901,Meat,51.8324,Medium,Tier 1,Supermarket Type1,14,1090.5804
15.85,Low Fat,0.043479126,Starchy Foods,36.7164,Small,Tier 2,Supermarket Type1,6,308.9312
12.8,Low Fat,0.076060037,Fruits and Vegetables,95.141,Small,Tier 1,Supermarket Type1,16,868.869
12.300000000000002,Low Fat,0.021984639,Frozen Foods,190.9162,Medium,Tier 3,Supermarket Type3,28,5772.486
15.75,Low Fat,0.055154296,Baking Goods,195.5452,Medium,Tier 3,Supermarket Type2,4,1174.4712
7.575,Low Fat,0.055121892,Dairy,196.7768,Medium,Tier 3,Supermarket Type3,28,5912.304
6.155,Regular,0.094201477,Meat,213.356,Medium,Tier 3,Supermarket Type3,28,6817.792
10.1,Low Fat,0.031946638,Canned,51.6008,Medium,Tier 3,Supermarket Type3,28,1821.6288
11.1,Non-Edible,0.057969482,Household,119.3124,Small,Tier 1,Grocery Store,28,474.0496
18.85,Non-Edible,0.052054819,Health and Hygiene,189.1846,Small,Tier 1,Supermarket Type1,16,2101.9306
15.25,Regular,0.065999008,Snack Foods,177.966,Medium,Tier 1,Supermarket Type1,14,2336.958
